id;name;latitude;longitude;typeLandCode;countryCode;population;dem;isLoad
1151;Hollum;53.4394;5.63805;12;1;1160;3;0
1152;Holset;50.77583;5.9875;12;1;145;188;0
1153;Holsloot;52.72833;6.80278;12;1;120;16;0
1154;Holst;51.13583;6.04167;12;1;45;30;0
1155;Holte;53.0575;7.04861;12;1;135;1;0
1156;Holthe;52.8425;6.53889;12;1;135;14;0
1157;Holtum;51.0475;5.82222;12;1;1170;31;0
1158;Holwerd;53.36815;5.90073;12;1;1435;3;0
1159;Holwierde;53.35833;6.87361;12;1;970;0;0
1160;Holysloot;52.41333;5.025;12;1;265;0;0
1161;Holz;50.86415;6.07424;19;1;2390;165;0
1162;Hommelbrink;52.23915;5.9636;19;1;780;13;0
1163;Hommert;50.93583;5.91528;12;1;860;101;0
1164;Hommerts;52.98026;5.64963;12;1;595;0;0
1165;Honselersdijk;52.00665;4.22441;12;1;7366;1;0
1166;Honthem;50.81417;5.79861;12;1;110;145;0
1167;Hoofddorp;52.3025;4.68889;12;1;132734;-2;0
1168;Hoofdplaat;51.36917;3.6625;12;1;545;2;0
1169;Hoog Buurlo;52.17833;5.84583;12;1;3;85;0
1170;Hoog Soeren;52.2184;5.8731;12;1;180;88;0
1171;Hoog-Keppel;52.00583;6.20417;12;1;430;14;0
1172;Hoogblokland;51.875;4.97639;12;1;1090;-1;0
1173;Hoogbraak;51.44819;4.91867;12;1;980;26;0
1174;Hoogcruts;50.77417;5.84167;12;1;80;188;0
1175;Hooge Mierde;51.3875;5.12917;12;1;1310;30;0
1176;Hooge Zwaluwe;51.6875;4.74444;12;1;1265;2;0
1177;Hoogeind;51.52059;5.05179;19;1;180;16;0
1178;Hoogeloon;51.3975;5.26806;12;1;1790;27;0
1179;Hoogenweg;52.5675;6.6625;12;1;410;9;0
1180;Hoogerheide;51.42417;4.325;12;1;5810;24;0
1181;Hoogeveen;52.7182;6.51803;2;1;55677;12;0
1182;Hoogezand;53.16167;6.76111;12;1;21480;2;0
1183;Hoogezand-Sappemeer;53.14612;6.73611;3;1;34305;-1;0
1184;Hooghalen;52.92083;6.53889;12;1;810;18;0
1185;Hoogkamp;51.9963;5.88026;19;1;1870;76;0
1186;Hoogland;52.1825;5.37361;12;1;10587;3;0
1187;Hoogmade;52.16917;4.58194;12;1;1480;-1;0
1188;Hoogvliet;51.86333;4.3625;12;1;34950;-1;0
1189;Hoogwoud;52.71583;4.93889;12;1;3645;0;0
1190;Hooilandseweg;53.41667;6.78333;12;1;115;2;0
1191;Hoorn;52.64312;5.05779;2;1;73619;2;0
1192;Hoornaar;51.87917;4.94722;12;1;440;-1;0
1193;Hoornsterzwaag;52.99857;6.1726;12;1;830;5;0
1194;Hopel;50.89245;6.05046;12;1;2240;114;0
1195;Hornhuizen;53.38833;6.36111;12;1;130;1;0
1196;Horssen;51.85583;5.60972;12;1;1095;7;0
1197;Horst;51.45417;6.05139;12;1;13365;27;0
1198;Horst aan de Maas;51.45931;6.10254;2;1;42487;23;0
1199;Horstermeer;52.25;5.07778;12;1;750;-1;0
1200;Houten;52.02683;5.16941;2;1;50223;3;0
1201;Houthem;50.8725;5.79306;12;1;1470;63;0
1202;Houtigehage;53.15202;6.14524;12;1;905;5;0
1203;Houwerzijl;53.33583;6.34028;12;1;175;1;0
1204;Huijbergen;51.4325;4.37639;12;1;1655;21;0
1205;Huisduinen;52.9525;4.72639;12;1;485;4;0
1206;Huisseling;51.7875;5.63889;12;1;310;8;0
1207;Huizen;52.29917;5.24167;12;1;41273;4;0
1208;Huizerhoogt;52.28167;5.23889;12;1;135;19;0
1209;Huizinge;53.345;6.67361;12;1;105;4;0
1210;Huizum;53.1917;5.81119;19;1;9000;2;0
1211;Hulhuizen;51.87917;5.98889;12;1;290;11;0
1212;Huls;50.84417;5.97222;12;1;345;210;0
1213;Hulsberg;50.88917;5.85556;12;1;3215;132;0
1214;Hulsdonk;51.52529;4.44277;19;1;980;5;0
1215;Hulsel;51.38833;5.17778;12;1;565;28;0
1216;Hulsen;52.37917;6.47361;12;1;680;10;0
1217;Hulshorst;52.36333;5.73194;12;1;775;9;0
1218;Hulst;51.31897;4.0869;2;1;27575;0;0
1219;Hulten;51.5725;4.95417;12;1;180;11;0
1220;Hummelo;52.00417;6.23333;12;1;1010;13;0
1221;Hunnerberg;51.84209;5.87876;18;1;3800;41;0
1222;Hurdegaryp;53.21333;5.94137;12;1;4510;0;0
1223;Hurwenen;51.81083;5.31667;12;1;670;3;0
1224;Hushoven;51.26417;5.69722;12;1;190;33;0
1225;Husken;50.89567;5.95648;12;1;1380;100;0
1226;Húns;53.15941;5.66572;12;1;115;-1;0
1227;IJhorst;52.65917;6.29167;12;1;780;7;0
1228;IJlst;53.01009;5.62312;12;1;3180;2;0
1229;IJmuiden;52.4603;4.61048;12;1;31925;11;0
1230;IJpecolsga;52.93146;5.60346;12;1;50;-1;0
1231;IJsselmonde;51.86667;4.51667;7;1;423000;1;0
1232;IJsselstein;52.02;5.04306;12;1;33886;6;0
1233;IJzendijke;51.32167;3.61667;12;1;1785;5;0
1234;IJzendoorn;51.90583;5.53333;12;1;785;9;0
1235;IJzeren;50.83917;5.83194;12;1;295;153;0
1236;Idsegahuizum;53.0423;5.41849;12;1;220;1;0
1237;Idskenhuizen;52.92877;5.71323;12;1;490;2;0
1238;Idzega;52.97893;5.55445;12;1;25;-1;0
1239;Ilpendam;52.46333;4.95;12;1;1750;1;0
1240;Imstenrade;50.85333;5.98611;12;1;310;183;0
1241;Indijk;52.94742;5.60247;12;1;110;1;0
1242;Ingen;51.95917;5.48472;12;1;1080;6;0
1243;Itens;53.10206;5.64054;12;1;230;0;0
1244;Itteren;50.89833;5.70278;12;1;930;43;0
1245;Jaarsveld;51.96917;4.97639;12;1;310;3;0
1246;Jabeek;50.98083;5.94167;12;1;700;62;0
1247;Jagershoef;51.4733;5.4672;19;1;3560;18;0
1248;Jellum;53.1619;5.74379;12;1;140;-1;0
1249;Jelsum;53.2347;5.78237;12;1;205;2;0
1250;Jipsingboermussel;52.91917;7.04028;12;1;5;9;0
1251;Jipsingboertange;52.965;7.10139;12;1;160;8;0
1252;Jirnsum;53.07753;5.79254;12;1;1255;0;0
1253;Jislum;53.31232;5.87626;12;1;70;0;0
1254;Jisp;52.5075;4.85139;12;1;475;1;0
1255;Jistrum;53.21158;6.06668;12;1;555;2;0
1256;Jonkersvaart;53.12917;6.29861;12;1;215;4;0
1257;Joppe;52.2075;6.23194;12;1;440;12;0
1258;Joure;52.9657;5.80301;14;1;13090;1;0
1259;Jouswier;53.35019;6.07407;12;1;40;0;0
1260;Jubbega;53.00396;6.12183;12;1;3295;3;0
1261;Jutrijp;52.99602;5.64942;12;1;230;1;0
1262;Kaag;52.21417;4.55694;12;1;465;-1;0
1263;Kaag en Braassem;52.19393;4.65516;2;1;27541;-3;0
1264;Kaakhorn;53.40583;6.47778;12;1;50;-1;0
1265;Kaalheide;50.86505;6.03643;12;1;2840;155;0
1266;Kadoelen;52.4175;4.90561;17;1;1915;0;0
1267;Kakert;50.90414;6.00463;19;1;1750;110;0
1268;Kalenberg;52.77667;5.95417;12;1;190;1;0
1269;Kallenkote;52.79833;6.17917;12;1;290;2;0
1270;Kalsdonk;51.53973;4.47111;19;1;4250;6;0
1271;Kalverdijk;52.7325;4.76806;12;1;235;1;0
1272;Kampen;52.56181;5.91535;2;1;54474;0;0
1273;Kamperland;51.57167;3.70417;12;1;1610;2;0
1274;Kamperveen;52.50797;5.93056;12;1;825;1;0
1275;Kamperzeedijk-West;52.595;5.98472;12;1;110;0;0
1276;Kanis;52.125;4.89167;12;1;415;1;0
1277;Kantens;53.36583;6.63472;12;1;650;4;0
1278;Kapel-Avezaath;51.88;5.37639;12;1;465;6;0
1279;Kapelle;51.48223;3.96524;2;1;12882;1;0
1280;Karpen;51.45401;5.50604;19;1;425;18;0
1281;Kasen;50.90417;5.75;12;1;280;108;0
1282;Katendrecht;51.90074;4.48254;19;1;4755;7;0
1283;Katlijk;52.94595;6.01261;12;1;600;4;0
1284;Kats;51.5675;3.88472;12;1;325;2;0
1285;Kattendijke;51.52333;3.94444;12;1;390;0;0
1286;Katwijk;52.19029;4.42129;2;1;65929;2;0
1287;Katwijk aan Zee;52.20333;4.39861;12;1;20010;8;0
1288;Katwijk aan den Rijn;52.19417;4.42222;12;1;5940;3;0
1289;Katwoude;52.46833;5.04583;12;1;305;-2;0
1290;Kedichem;51.86;5.05;12;1;1045;3;0
1291;Keent;51.24218;5.70079;12;1;4465;36;0
1292;Keersop;51.36333;5.42222;12;1;45;24;0
1293;Keijenborg;52.02917;6.29444;12;1;1050;14;0
1294;Kekerdom;51.86417;6.00833;12;1;485;12;0
1295;Keldonk;51.58667;5.58472;12;1;725;12;0
1296;Kelmond;50.92417;5.80278;12;1;145;104;0
1297;Kelpen-Oler;51.21817;5.82602;18;1;1170;28;0
1298;Kerckebosch;52.07844;5.26584;19;1;2555;11;0
1299;Kerensheide;50.9721;5.77666;19;1;2740;57;0
1300;Kerkdriel;51.77167;5.33472;12;1;6580;7;0
1301;Kerkehout;52.11018;4.37957;12;1;1045;0;0
1302;Kerkelanden;52.21755;5.13575;19;1;5655;0;0
1303;Kerkenveld;52.66833;6.5;12;1;525;12;0
1304;Kerklaan;52.22083;5.00833;12;1;140;-1;0
1305;Kerkrade;50.86583;6.0625;12;1;49777;157;0
1306;Kerkwerve;51.68667;3.89861;12;1;575;-1;0
1307;Kerkwijk;51.775;5.22083;12;1;420;5;0
1308;Kerschoten;52.23333;5.96667;19;1;3540;13;0
1309;Kerspel-Goor;52.21341;6.60278;12;1;230;14;0
1310;Kessel;51.29167;6.05417;12;1;3020;24;0
1311;Kesseleik;51.27833;6.02361;12;1;715;25;0
1312;Kesteren;51.935;5.56944;12;1;4455;8;0
1313;Ketelhaven;52.57718;5.76383;12;1;595;-2;0
1314;Keuningswijk;53.11667;6.28333;12;1;250;4;0
1315;Keup;51.31167;5.98611;12;1;140;34;0
1316;Kiel-Windeweer;53.1125;6.77917;12;1;675;3;0
1317;Kievitsdel;51.98167;5.78056;12;1;425;34;0
1318;Kijfhoek;51.82417;4.59583;12;1;80;-2;0
1319;Kijkduin;52.06765;4.22188;19;1;1495;9;0
1320;Kilder;51.9375;6.23194;12;1;980;16;0
1321;Kimswerd;53.14122;5.43752;12;1;485;1;0
1322;Kinderdijk;51.88583;4.63194;12;1;867;1;0
1323;Kingdom of the Netherlands;52.25;5.75;11;1;17231017;24;0
1324;Kitskensberg;51.17181;6.00433;19;1;825;26;0
1325;Klaaswaal;51.77;4.44583;12;1;3490;0;0
1326;Klarenbeek;51.50964;3.61132;19;1;3350;1;0
1327;Klazienaveen;52.72417;6.99028;12;1;11919;18;0
1328;Klein Driene;52.26935;6.81613;19;1;1470;20;0
1329;Klein Harkstede;53.21833;6.65139;12;1;65;-2;0
1330;Klein-Doenrade;50.95833;5.90972;12;1;155;108;0
1331;Klein-Schoot;51.25417;5.575;12;1;110;33;0
1332;Klein-Ulsda;53.155;7.14583;12;1;45;-2;0
